School_id,Section_id,Teacher_id,Teacher_2_id,Teacher_3_id,Teacher_4_id,Name,Grade,Course_name,Course_number,Period,Term_name,Term_start,Term_end
02M800,581,86,87,88,89,Group Guidance - 101 - B. Greene (Section 1),10,Group Guidance,101,0,Y1,8/1/15,6/1/16
02M800,582,87,86,88,89,Group Guidance - 102 - T. Vaux (Section 2),10,Group Guidance,102,0,Y1,8/1/15,6/1/16
02M800,583,88,86,87,89,Group Guidance - 103 - E. Britcher (Section 3),10,Group Guidance,103,0,Y1,8/1/15,6/1/16
02M800,584,89,86,87,88,Group Guidance - 104 - J. Isaacs (Section 4),10,Group Guidance,104,0,Y1,8/1/15,6/1/16
02M800,585,90,,,,Group Guidance - 105 - J. Cummings (Section 5),10,Group Guidance,105,0,Y1,8/1/15,6/1/16
02M800,586,91,,,,Group Guidance - 106 - M. Nagle (Section 6),10,Group Guidance,106,0,Y1,8/1/15,6/1/16
27Q321,587,83,,,,Sixth Grade Advisory - 601 - S. Madison,6,Sixth Grade Advisory,601,4,Y1,8/1/15,6/1/16
27Q321,588,84,,,,Sixth Grade Advisory - 602 - R. Monroe (Section 2),6,Sixth Grade Advisory,602,4,Y1,8/1/15,6/1/16
27Q321,589,85,,,,Sixth Grade Advisory - 603 - K. Hudson (Section 3),6,Sixth Grade Advisory,603,4,Y1,8/1/15,6/1/16
27Q321,590,83,,,,Seventh Grade Advisory - 701 - S. Madison,7,Seventh Grade Advisory,701,1,Y1,8/1/15,6/1/16
27Q321,591,84,,,,Seventh Grade Advisory - 702 - R. Monroe,7,Seventh Grade Advisory,702,1,Y1,8/1/15,6/1/16
27Q321,592,85,,,,Seventh Grade Advisory - 703 - K. Hudson,7,Seventh Grade Advisory,703,1,Y1,8/1/15,6/1/16
27Q321,593,83,,,,Eighth Grade Advisory - 801 - S. Madison,8,Eighth Grade Advisory,801,4,Y1,8/1/15,6/1/16
27Q321,594,84,,,,Eighth Grade Advisory - 802 - R. Monroe,8,Eighth Grade Advisory,802,4,Y1,8/1/15,6/1/16
27Q321,595,85,,,,Eighth Grade Advisory - 803 - K. Hudson,8,Eighth Grade Advisory,803,4,Y1,8/1/15,6/1/16
02M800,596,86,,,,Group Guidance - 901 - B. Greene (Section 1),9,Group Guidance,901,0,Y1,8/1/15,6/1/16
02M800,597,87,,,,Group Guidance - 902 - T. Vaux (Section 2),9,Group Guidance,902,0,Y1,8/1/15,6/1/16
02M800,598,88,,,,Group Guidance - 903 - E. Britcher (Section 3),9,Group Guidance,903,0,Y1,8/1/15,6/1/16
02M800,599,89,,,,Group Guidance - 904 - J. Isaacs (Section 4),9,Group Guidance,904,0,Y1,8/1/15,6/1/16
02M800,600,90,,,,Group Guidance - 905 - J. Cummings (Section 5),9,Group Guidance,905,0,Y1,8/1/15,6/1/16
02M800,601,91,,,,Group Guidance - 906 - M. Nagle (Section 6),9,Group Guidance,906,0,Y1,8/1/15,6/1/16
02M800,602,93,,,,Drama 10 - 200 - M. Paucek (Section 1),10,Drama 10,200,2,Y1,8/1/15,6/1/16
02M800,603,93,,,,Drama 11 - 301 - M. Paucek (Section 1),11,Drama 11,301,7,Y1,8/1/15,6/1/16
02M800,604,93,,,,Drama 12 - 001 - M. Paucek (Section 1),12,Drama 12,1,8,Y1,8/1/15,6/1/16
