School_id,Student_id,Student_number,State_id,Last_name,Middle_name,First_name,Gender,Dob,Grade,Race,Hispanic_Latino,Ell_status,Student_zip,Student_email,Contact_name,Contact_type,Contact_phone,Contact_email,Username,Password
02M800,738733110,738733110,114327752,Schmeler,J,Diane,female,11/1/98,9,A,Y,Y,11433,diane.s@example.org,Wanell Schmeler,Uncle,(336)533-1632 x218,wanell_schmeler@example.net,dianes10,eel7Thohd
02M800,913113920,913113920,975729843,Greenholt,T,Martha,female,4/2/98,9,A,N,N,11694,g_martha@example.org,Austin Greenholt,Brother,839.543.4396 x372,greenholt_austin@example.org,marthag20,iiban1oB6
02M800,841688312,841688312,484726796,Jacobi,J,Kim,female,5/13/98,9,A,N,Y,11377,kim_j@example.org,Randolph Yost,Grandfather,1-919-721-2809 x676,yost.randolph@example.com,kimj12,phee7kah3R
02M800,274676951,274676951,722272184,Hackett,R,Melissa,female,11/18/98,9,B,Y,N,11421,melissa.h@example.org,Gerald Hackett,Stepfather,343-983-4279,gerald_hackett@example.com,melissah51,iXaife7ujeep
02M800,416050093,416050093,494212064,Barrows,F,Davida,female,3/16/98,9,B,N,N,10456,b.davida@example.org,Farhan Barrows,Cousin,(273)843-5094 x425,farhan_barrows@example.com,davidab93,aijieVe9ce
02M800,132765903,132765903,385458717,Kovacek,E,Lakeisha,female,6/18/98,9,B,Y,Y,10030,lakeisha_k@example.com,Sam Kovacek,Brother,214.018.9717 x02569,sam_kovacek@example.com,lakeishak03,Meejahgo6qu
02M800,627522665,627522665,249235933,Pfannerstill,L,Elia,female,4/25/98,9,B,N,N,11415,elia_p@example.org,Philisha Pfannerstill,Mother,804-800-0382,philisha.pfannerstill@example.net,eliap65,waikai2ooDee
02M800,861544940,861544940,349818732,Vandervort,A,Leslie,female,4/4/98,9,B,N,N,10040,v.leslie@example.org,Monika Vandervort,Stepmother,1-681-562-3312 x8820,vandervort.monika@example.net,lesliev40,Aec6quu4ohVah
02M800,108028995,108028995,339598426,Runolfsdottir,B,Julia,female,1/29/98,9,B,Y,Y,11239,julia.r@example.org,Mahreen Satterfield,Cousin,213-057-8341 x39966,mahreen_satterfield@example.com,juliar95,bohTunaequ1oh
02M800,213251805,213251805,476773672,Purdy,R,Barbara,female,2/8/98,9,B,N,N,11357,barbara.p@example.net,Hussain Purdy,Grandmother,274-522-3917 x501,hussain.purdy@example.org,barbarap05,suLio1oa8o
02M800,669460589,669460589,342163429,Davis,T,Julie,female,9/13/98,9,B,N,N,10019,d.julie@example.org,Sylvia Davis,Family Friend,1-842-664-8401 x78002,davis_sylvia@example.net,julied89,dohquooY6cah
02M800,746419030,746419030,631522982,Daugherty,C,Jeanne,female,5/17/98,9,B,N,Y,11211,jeanne.d@example.net,Adeola Daugherty,Cousin,128-797-6594,daugherty_adeola@example.com,jeanned30,ro6Ohtaomu7
02M800,883002242,883002242,628812789,Fisher,J,Helen,female,6/22/98,9,B,Y,N,11226,helen.f@example.net,Kumarie Fisher,Cousin,1-594-992-5042 x274,fisher_kumarie@example.com,helenf42,uth7yah6Ei
02M800,694713044,694713044,270231774,Schmeler,J,Drusilla,female,6/5/98,9,B,Y,Y,11691,drusilla.s@example.org,Andrew Wolf,Father,1-303-510-9457,wolf.andrew@example.net,drusillas44,thee2eeRaW6
02M800,726579566,726579566,381380085,Hane,M,Katherine,female,1/15/98,9,B,N,Y,11229,h_katherine@example.com,Donovan Reichel,Grandfather,209-244-1785,donovan_reichel@example.com,katherineh66,mieyood1Ah
02M800,894437224,894437224,559436436,Zieme,J,Kimberly,female,2/1/98,9,B,N,N,10003,kimberly.z@example.org,Melanie Zieme,Brother,804.402.5411 x48392,melanie_zieme@example.com,kimberlyz24,fah3eib1Yu
02M800,530262996,530262996,595511637,Ankunding,T,Wen,female,3/10/98,9,B,Y,Y,11215,wen.a@example.org,Sincere Ankunding,Brother,189-395-9364 x23258,ankunding.sincere@example.net,wena96,kiephee6Va
